,image,class,location
18,10185.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10185.jpg
19,10191.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10191.jpg
20,10196.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10196.jpg
21,10198.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10198.jpg
22,10205.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10205.jpg
23,10210.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10210.jpg
24,10228.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10228.jpg
25,10231.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10231.jpg
26,10251.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10251.jpg
27,10252.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10252.jpg
28,10257.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10257.jpg
29,10266.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10266.jpg
30,10278.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10278.jpg
31,1028.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1028.jpg
32,10295.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10295.jpg
33,10303.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10303.jpg
34,10306.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10306.jpg
35,10310.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10310.jpg
36,10312.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10312.jpg
37,10316.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10316.jpg
38,10318.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10318.jpg
39,10328.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10328.jpg
40,10350.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10350.jpg
41,10357.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10357.jpg
42,10362.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10362.jpg
43,10367.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10367.jpg
44,10374.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10374.jpg
45,10383.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10383.jpg
46,10402.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10402.jpg
47,1041.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1041.jpg
48,10421.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10421.jpg
49,10444.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10444.jpg
50,1045.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1045.jpg
51,10452.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10452.jpg
52,10466.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10466.jpg
53,10480.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10480.jpg
54,10485.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10485.jpg
55,10489.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10489.jpg
56,10495.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10495.jpg
57,10499.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10499.jpg
58,10500.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10500.jpg
59,10502.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10502.jpg
60,10511.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10511.jpg
61,10520.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10520.jpg
62,10528.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10528.jpg
63,1055.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1055.jpg
64,10553.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10553.jpg
65,10559.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10559.jpg
66,10570.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10570.jpg
67,10576.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10576.jpg
68,1058.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1058.jpg
69,10582.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10582.jpg
70,10598.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10598.jpg
71,10608.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10608.jpg
72,10620.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10620.jpg
73,10626.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10626.jpg
74,10630.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10630.jpg
75,1064.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1064.jpg
76,10641.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10641.jpg
77,10646.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10646.jpg
78,10653.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10653.jpg
79,10656.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10656.jpg
80,10672.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10672.jpg
81,10695.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10695.jpg
82,10699.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10699.jpg
83,10717.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10717.jpg
84,10720.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10720.jpg
85,10730.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10730.jpg
86,10744.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10744.jpg
87,10754.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10754.jpg
88,10756.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10756.jpg
89,10790.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10790.jpg
90,10792.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10792.jpg
91,10798.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10798.jpg
92,10805.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10805.jpg
93,10809.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10809.jpg
94,10812.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10812.jpg
95,10828.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10828.jpg
96,10831.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10831.jpg
97,10832.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10832.jpg
98,10842.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10842.jpg
99,10849.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10849.jpg
100,10865.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10865.jpg
101,10872.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10872.jpg
102,10878.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10878.jpg
103,10886.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10886.jpg
104,10892.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10892.jpg
105,10899.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10899.jpg
106,1090.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1090.jpg
107,10911.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10911.jpg
108,10921.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10921.jpg
109,10924.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10924.jpg
110,1093.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1093.jpg
111,10936.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10936.jpg
112,10963.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10963.jpg
113,10978.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10978.jpg
114,10997.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10997.jpg
115,11003.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11003.jpg
116,11011.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11011.jpg
117,11024.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11024.jpg
118,11037.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11037.jpg
119,1104.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1104.jpg
120,11042.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11042.jpg
121,11045.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11045.jpg
122,11054.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11054.jpg
123,11055.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11055.jpg
124,1107.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1107.jpg
125,11077.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11077.jpg
126,11084.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11084.jpg
127,11098.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11098.jpg
128,11108.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11108.jpg
129,11117.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11117.jpg
130,1112.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1112.jpg
131,11131.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11131.jpg
132,11157.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11157.jpg
133,11173.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11173.jpg
134,11181.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11181.jpg
135,11187.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11187.jpg
136,11197.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11197.jpg
137,112.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/112.jpg
138,11203.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11203.jpg
139,11209.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11209.jpg
140,11226.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11226.jpg
141,11235.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11235.jpg
142,11244.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11244.jpg
143,11249.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11249.jpg
144,11259.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11259.jpg
145,11274.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11274.jpg
146,11278.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11278.jpg
147,11290.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11290.jpg
148,11302.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11302.jpg
149,11305.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11305.jpg
150,11306.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11306.jpg
151,11307.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11307.jpg
152,11309.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11309.jpg
153,11315.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11315.jpg
154,11316.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11316.jpg
155,11317.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11317.jpg
156,11323.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11323.jpg
157,11334.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11334.jpg
158,11338.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11338.jpg
159,11345.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11345.jpg
160,11349.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11349.jpg
161,11363.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11363.jpg
162,11366.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11366.jpg
163,11371.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11371.jpg
164,11374.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11374.jpg
165,11378.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11378.jpg
166,11410.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11410.jpg
167,11418.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11418.jpg
168,11425.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11425.jpg
169,11428.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11428.jpg
170,11458.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11458.jpg
171,11471.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11471.jpg
172,11477.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11477.jpg
173,11483.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11483.jpg
174,11494.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11494.jpg
175,11499.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11499.jpg
176,11502.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11502.jpg
177,11523.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11523.jpg
178,11530.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11530.jpg
179,11560.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11560.jpg
180,11568.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11568.jpg
181,11569.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11569.jpg
182,11570.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11570.jpg
183,11594.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11594.jpg
184,11595.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11595.jpg
185,11599.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11599.jpg
186,11601.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11601.jpg
187,11605.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11605.jpg
188,1161.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1161.jpg
189,11613.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11613.jpg
190,11620.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11620.jpg
191,11621.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11621.jpg
192,11622.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11622.jpg
193,11627.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11627.jpg
194,11628.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11628.jpg
195,11635.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11635.jpg
196,11642.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11642.jpg
197,11658.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11658.jpg
198,11670.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11670.jpg
199,11696.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11696.jpg
200,11700.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11700.jpg
201,11718.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11718.jpg
202,11731.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11731.jpg
203,11753.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11753.jpg
204,11780.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11780.jpg
205,11788.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11788.jpg
206,11795.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11795.jpg
207,11796.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11796.jpg
208,11808.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11808.jpg
209,11813.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11813.jpg
210,11827.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11827.jpg
211,11845.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11845.jpg
212,11855.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11855.jpg
213,11883.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11883.jpg
214,11899.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11899.jpg
215,11910.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11910.jpg
216,11924.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11924.jpg
217,11929.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11929.jpg
218,1193.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1193.jpg
219,11937.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11937.jpg
220,11941.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11941.jpg
221,11945.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/11945.jpg
